datetime,date_only,heures,consommation
2024-10-16 07:00:00,2024-10-16,07:00,43931.0
2024-10-16 07:30:00,2024-10-16,07:30,46520.0
2024-10-16 08:00:00,2024-10-16,08:00,48313.0
2024-10-16 08:30:00,2024-10-16,08:30,49231.0
2024-10-16 09:00:00,2024-10-16,09:00,49844.0
2024-10-16 09:30:00,2024-10-16,09:30,50429.0
2024-10-16 10:00:00,2024-10-16,10:00,50605.0
2024-10-16 10:30:00,2024-10-16,10:30,50893.0
2024-10-16 11:00:00,2024-10-16,11:00,51113.0
2024-10-16 11:30:00,2024-10-16,11:30,51489.0
2024-10-16 12:00:00,2024-10-16,12:00,52239.0
2024-10-16 12:30:00,2024-10-16,12:30,52676.0
2024-10-16 13:00:00,2024-10-16,13:00,53148.0
2024-10-16 13:30:00,2024-10-16,13:30,52104.0
2024-10-16 14:00:00,2024-10-16,14:00,51198.0
2024-10-16 14:30:00,2024-10-16,14:30,50545.0
2024-10-16 15:00:00,2024-10-16,15:00,49712.0
2024-10-16 15:30:00,2024-10-16,15:30,49226.0
2024-10-16 16:00:00,2024-10-16,16:00,48382.0
2024-10-16 16:30:00,2024-10-16,16:30,47711.0
2024-10-16 17:00:00,2024-10-16,17:00,47279.0
2024-10-16 17:30:00,2024-10-16,17:30,46897.0
2024-10-16 18:00:00,2024-10-16,18:00,47297.0
2024-10-16 18:30:00,2024-10-16,18:30,48381.0
2024-10-16 19:00:00,2024-10-16,19:00,50361.0
2024-10-16 19:30:00,2024-10-16,19:30,52369.0
2024-10-16 20:00:00,2024-10-16,20:00,52111.0
2024-10-16 20:30:00,2024-10-16,20:30,50283.0
2024-10-16 21:00:00,2024-10-16,21:00,48303.0
2024-10-16 21:30:00,2024-10-16,21:30,46857.0
2024-10-16 22:00:00,2024-10-16,22:00,45437.0
2024-10-16 22:30:00,2024-10-16,22:30,45662.0
2024-10-16 23:00:00,2024-10-16,23:00,46672.0
2024-10-16 23:30:00,2024-10-16,23:30,45946.0
