Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
SOUTERRAIN;CZSEUL62RANVI;LIAISON 225kV N0 2 COURSEULLES (SUR-MER) - RANVILLE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CZSEUL61RANVI;LIAISON 225kV N0 1 COURSEULLES (SUR-MER) - RANVILLE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CZTRYL61SENAR;LIAISON 225kV N0 1 COURTRY-SENART;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BEZ.EL61SSVIN;LIAISON 225kV N0 1 BEZIERS-EST - ST-VINCENT;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AVELIL62HELLE;LIAISON 225kV N0 2 AVELIN - HELLEMMES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MTLUCL61MTVIC;LIAISON 225kV N0 1 MONTLUCON - MONTVICQ;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CHENEL61SENAR;LIAISON 225kV N0 1 CHENET-SENART;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;GOBELL61TOLBI;LIAISON 225kV N0 1 GOBELINS-TOLBIAC;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;PERELL61ZP.IL;LIAISON 225kV N0 1 CONFLUENT - MOIRANS - PERELLE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;PREGUL61SAINT;LIAISON 225kV N0 1 PREGUILLAC - SAINTES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;ROMAIL64ZGALE;LIAISON 225kV N0 4 GALERES - ROMAINVILLE - VILLEVAUDE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CPNIEL61GRISO;LIAISON 225kV N0 1 CHAMPAGNIER-GRISOLLES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MASTAL61P.SAM;LIAISON 225kV N0 1 MASTAING-PONT-SUR-SAMBRE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;NANTEL61PUTEA;LIAISON 225kV N0 1 NANTERRE-PUTEAUX (1A-1B);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;FEUILL61RICHI;LIAISON 225kV N0 1 FEUILLANE - RICHIER;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CORMEL62F.LOU;LIAISON 225kV N0 2 CORMEILLES - FOSSE AUX LOUPS (LA);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;ORNA5L61TURGO;LIAISON 225kV N0 1 ORNANO - TURGOT;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;H.VINL61WATTR;LIAISON 225kV N0 1 HAUT-VINAGE-WATTRELOS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;SAULEL61VERSA;LIAISON 225kV N0 1 SAULES-VERSAILLES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BZGETL61DRANC;LIAISON 225kV N0 1 BOURGET (LE)-DRANCY;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;ARRIGL61COLON;LIAISON 225kV N0 1 ARRIGHI-COLONIE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;C.ROUL61VAISE;LIAISON 225kV N0 1 CROIX-ROUSSE-VAISE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;P.BOIL61ZLIN7;LIAISON 225kV N0 1 LIERS - VILLEJUST - PETIT-BOIS (LE);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;FLERSL61LAUNA;LIAISON 225kV N0 1 FLERS-LAUNAY;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CHATIL611CLAM;LIAISON 225kV N0 1 CHATILLON (CLAMART) - CLAMART;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BIANCL61BOCCA;LIAISON 225kV N0 1 BIANCON - BOCCA (LA);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;P.GASL61ZBRI5;LIAISON 225kV N0 1 PLESSIS-GASSOT - SEINE - BRICHE (LA);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;SSAVOL61VIGY;LIAISON 225kV N0 1 ST-AVOLD-VIGY;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;GRANDL61PRATC;LIAISON 225kV N0 1 GRANDVAL - PRATCLAUX;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CIZE L61FLEYR;LIAISON 225kV N0 1 CIZE - FLEYRIAT;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;ARDOIL61MOTT5;LIAISON 225kV N0 1 ARDOISE (L )-MOTTE (LA) (V.-LES-AVIGNON);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;SEINEL61SSOU5;LIAISON 225kV N0 1 SEINE - ST-OUEN (POSTE);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MOUCHL61PERRA;LIAISON 225kV N0 1 MOUCHE (LA)-PERRACHE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;ECHALL61GIVOR;LIAISON 225kV N0 1 ECHALAS-GIVORS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AQUEDL61LISSE;LIAISON 225kV N0 1 AQUEDUCS (LES) - LISSES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;LIERSL61LOGES;LIAISON 225kV N0 1 LIERS-LOGES (LES);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CHEVIL62CRETA;LIAISON 225kV N0 2 CHEVILLY-CRETAINE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;C.REGL61ZMAGN;LIAISON 225kV N0 1 CHAMPS-REGNAUD - CHAMPVANS - MAGNY(-SUR-TILLE);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BOLL5L62PRRLA;LIAISON 225kV N0 2 BOLLENE - PIERRELATTE (COGEMA A PIERRELATTE) (225kV);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;P.GASL64SEINE;LIAISON 225kV N0 4 PLESSIS-GASSOT - SEINE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CPNIEL61S.PON;LIAISON 225kV N0 1 CHAMPAGNIER-SERRE-PONCON;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;GUER8L61ZGUE5;LIAISON 225kV N0 1 GUERACHE (LA) - PIQUAGE A GUERACHE (LA) - TRANS - VINS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;G.ROUL61SOULL;LIAISON 225kV N0 1 GUE-AU-ROUX (LE) - SOULLANS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;TERRIL61V.SEP;LIAISON 225kV N0 1 TERRIER - VILLERS-SAINT-SEPULCRE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;SERRIL61SSV.E;LIAISON 225kV N0 1 SERRIERES-ST-VULBAS-EST;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;C.RHOL62L.NEU;LIAISON 225kV N0 2 CHATEAUNEUF-DU-RHONE - LOGIS-NEUF;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BLOCAL61LIMEU;LIAISON 225kV N0 1 BLOCAUX - LIMEUX;EN EXPLOITATION;225kV;1;;;;;;;;
